gene baseMean log2FoldChange lfcSE stat pvalue padj symbol entrezid highlight
1110046J04Rik 13.719707517356287 0.056181053190625316 0.5205165118119024 0.10793327764965756 0.9140486195613879 0.9806512822379947 1110046J04Rik 68808 No
1110051M20Rik 117.45446362129198 0.08594935608359616 0.23170535322174718 0.3709424702041334 0.7106803815463856 0.9259843549666517 1110051M20Rik 228356 No
1110058D11Rik 0 NA NA NA NA NA 1110058D11Rik 68771 No
1110059E24Rik 170.8823473019381 0.26425256441749234 0.16825322388742137 1.5705646424600124 0.11628380821541273 0.47150371728724144 1110059E24Rik 66206 No
1110059G10Rik 23.590186695655717 0.0835914882760211 0.3992923060577814 0.20934910842966412 0.8341757180170879 0.962491925146412 1110059G10Rik 66202 No
1110065P20Rik 63.015618978542356 -0.4699397879916716 0.2934580071913271 -1.6013868304001768 0.10929126780836333 0.45820715550579216 1110065P20Rik 68920 No
1190005I06Rik 4.23142814216409 0.8143736726157975 1.682460268374392 0.484037387345053 0.6283593357329182 NA 1190005I06Rik 68918 No
1190007I07Rik 28.162703405033906 -0.4313901905813763 0.3808676878112091 -1.1326510606885887 0.2573608169663385 0.6544200739253244 1190007I07Rik 544717 No
1190028D05Rik 0.11971409087908626 1.2227050681099163 4.06712397190746 0.30063137405090556 0.7636956045213333 NA 1190028D05Rik 330767 No
1300002E11Rik 38.36255118734867 -0.057330543552830224 0.36616256479137377 -0.15657128572249077 0.8755827340637273 0.97355514159269 1300002E11Rik 100043489 No
1300017J02Rik 0.12025961483641752 1.2274198702238504 4.067074664851538 0.3017942800095251 0.7628088915804137 NA 1300017J02Rik 71775 No
1500004A13Rik 56.456024826432085 -0.19927060745240946 0.275439007241736 -0.7234654577357006 0.4693939684624239 0.8202935541814693 1500004A13Rik 319830 No
1500009L16Rik 0.47569976231168587 -2.2320838593198493 2.831716953539425 -0.7882439862253602 0.43055400477737343 NA 1500009L16Rik 69784 No
1500011B03Rik 30.74037195961124 0.1120574142320954 0.39227912518256103 0.2856573471248196 0.7751405760025094 0.9447390814960244 1500011B03Rik 66236 No
1500012K07Rik 0.5414515718432684 -0.9262765368832857 2.8218050611555086 -0.32825674233640445 0.7427175482516546 NA 1500012K07Rik 68954 No
1500015A07Rik 13.255663305663441 0.13582587838598834 0.5642153409502559 0.2407341107691778 0.8097611997241383 0.9544296216088164 1500015A07Rik 68982 No
1500015L24Rik 0 NA NA NA NA NA 1500015L24Rik 68994 No
1500026H17Rik 6.816409673913212 -0.21174854211089367 0.8292383093772987 -0.2553530628244881 0.798450419727767 NA 1500026H17Rik 69002 No
1600002D24Rik 0.12982711067472907 -0.7232474014129107 4.080472856796901 -0.17724597780577986 0.8593151822832101 NA 1600002D24Rik 69776 No
1600010M07Rik 0.12001473778318901 1.225305696778045 4.067096731891627 0.30127281880707796 0.7632064660541849 NA 1600010M07Rik 69781 No
