gene baseMean log2FoldChange lfcSE stat pvalue padj symbol entrezid highlight
0610040J01Rik 0.09460100184514035 -0.30400284146385675 4.080223106773679 -0.07450642612144766 0.940607428075811 NA 0610040J01Rik 76261 No
0610043K17Rik 0 NA NA NA NA NA 0610043K17Rik 68400 No
1110002E22Rik 0.30618575110941715 0.009281237459379029 3.4663586178827916 0.002677517961210803 0.9978636523100938 NA 1110002E22Rik 102634333 No
1110002J07Rik 0.7995937976559203 0.8661334520398509 2.3046867644907754 0.37581395675313156 0.7070552111686169 NA 1110002J07Rik 68488 No
1110002L01Rik 85.76238692444532 -0.5688790511148833 0.22788563602482803 -2.4963357104828856 0.012548378080397939 0.16300623766832456 1110002L01Rik 100043040 No
1110004F10Rik 623.1034171938973 -0.1032961685958294 0.09880278078662963 -1.0454783536801813 0.29580193993903925 0.8041766246590467 1110004F10Rik 56372 No
1110006O24Rik 2.2526284892914337 -0.17674460624505933 1.276101392878193 -0.13850357599439594 0.8898424436210566 NA 1110006O24Rik 66123 No
1110015O18Rik 0 NA NA NA NA NA 1110015O18Rik 100503859 No
1110017D15Rik 0.7156672422559832 -0.14479377367756285 2.322746567841737 -0.06233731035586166 0.9502942168719032 NA 1110017D15Rik 73721 No
1110019D14Rik 15.009354441272137 -0.4880793335567184 0.5768705465206583 -0.846081216142034 0.39750743868677985 0.8743565193121383 1110019D14Rik 76311 No
1110020A21Rik 1.512975910304547 -1.1091511565226495 1.678012119995851 -0.6609911473853907 0.5086179907983246 NA 1110020A21Rik 68531 No
1110025L11Rik 0 NA NA NA NA NA 1110025L11Rik 68637 No
1110028F11Rik 0 NA NA NA NA NA 1110028F11Rik 68690 No
1110028F18Rik 0 NA NA NA NA NA 1110028F18Rik 68692 No
1110032A03Rik 16.387684686575565 0.01130890870018147 0.49255803564886486 0.022959545640715874 0.9816825423373801 0.9977957257036685 1110032A03Rik 68721 No
1110032F04Rik 0 NA NA NA NA NA 1110032F04Rik 68725 No
1110036E04Rik 0 NA NA NA NA NA 1110036E04Rik 68697 No
1110038B12Rik 725.9531256600811 0.16255467804339113 0.0967620721305772 1.679942093675185 0.09296858279284304 0.5319942583590457 1110038B12Rik 68763 No
1110038F14Rik 171.60970026624875 1.0677184864579745 0.16449579442333648 6.490855831305684 8.53501247246199e-11 5.902893108828022e-9 1110038F14Rik 117171 Yes
1110046J04Rik 23.348755840417148 0.5980684712822126 0.41490302229243264 1.4414656899285756 0.1494531636194862 0.6384625302927863 1110046J04Rik 68808 No
1110051M20Rik 61.16658345947017 0.14470805267670706 0.2557600058657319 0.5657962517903423 0.5715322947749745 0.928490865957141 1110051M20Rik 228356 No
1110058D11Rik 0.288352208748575 1.7582966181247162 3.8478236126318874 0.45695873697340617 0.6477007043492478 NA 1110058D11Rik 68771 No
1110059E24Rik 143.18922121091884 0.06841765043907316 0.1737593312538476 0.39374950366907663 0.6937659890019517 0.9635323929536961 1110059E24Rik 66206 No
1110059G10Rik 41.554124834738744 0.05882498645322366 0.3212229086551989 0.18312824169202227 0.8546973967993757 0.9836790312532819 1110059G10Rik 66202 No
1110065P20Rik 45.60082774525711 0.21509457981684313 0.3035322070374556 0.7086384074896561 0.47854889570386866 0.9025952950360246 1110065P20Rik 68920 No
1190005I06Rik 0 NA NA NA NA NA 1190005I06Rik 68918 No
1190007I07Rik 6.708161280975216 0.7379391964591634 0.759951568864857 0.9710345062665328 0.3315310957183815 0.8311458000937683 1190007I07Rik 544717 No
1190028D05Rik 6.353503595542234 0.25118159803904444 0.7799084806283764 0.32206547855033724 0.747403090155357 0.9667355170046781 1190028D05Rik 330767 No
1300002E11Rik 18.125839130563357 -0.0367356348511809 0.5028167916674207 -0.07305968189598377 0.9417586250649403 0.9932509268181869 1300002E11Rik 100043489 No
1300017J02Rik 0 NA NA NA NA NA 1300017J02Rik 71775 No
1500004A13Rik 40.07870226722032 -0.1286661995796199 0.31647913656218707 -0.4065550765124052 0.6843347975490794 0.9622908335715847 1500004A13Rik 319830 No
1500009L16Rik 0 NA NA NA NA NA 1500009L16Rik 69784 No
1500011B03Rik 0 NA NA NA NA NA 1500011B03Rik 66236 No
1500012K07Rik 1.8689022460485916 -1.5673463972990644 1.632064899378768 -0.9603456320245977 0.33688129110709913 NA 1500012K07Rik 68954 No
1500015A07Rik 14.28075945964914 0.13841466854366216 0.5285065435285432 0.261897738520974 0.7934002831833656 0.9743848804339169 1500015A07Rik 68982 No
1500015L24Rik 0 NA NA NA NA NA 1500015L24Rik 68994 No
1500026H17Rik 4.740853277757284 -0.7048932161424507 0.9169714907835939 -0.7687187913989424 0.442060266984175 0.8948918626359966 1500026H17Rik 69002 No
1600002D24Rik 0 NA NA NA NA NA 1600002D24Rik 69776 No
1600010M07Rik 0.5608646607207683 -2.2634966179148357 2.540551543269235 -0.8909469378456777 0.37295763752496436 NA 1600010M07Rik 69781 No
